Wed Jun 15 21:41:52 UTC 2016
MEM;CPU
64.92;0.88
65.93;0.88
66.94;0.88
66.94;0.81
66.94;0.81
66.94;0.81
66.94;0.81
66.94;0.81
66.94;0.90
66.94;0.90
66.94;0.90
66.94;0.90
66.94;0.83
66.94;0.83
67.14;0.83
67.14;0.83
67.14;0.76
67.14;0.76
67.14;0.76
67.14;0.76
67.14;0.94
67.14;0.94
67.14;0.94
67.14;0.94
67.14;0.94
67.14;0.87
67.14;0.87
67.14;0.87
67.14;0.87
67.14;0.88
67.14;0.88
67.14;0.88
67.14;0.88
67.14;0.81
67.14;0.81
67.14;0.81
67.14;0.81
67.14;0.74
67.14;0.74
67.14;0.74
67.14;0.74
67.14;0.74
67.14;0.76
67.14;0.76
67.14;0.76
67.14;0.76
67.14;0.70
67.14;0.70
67.14;0.70
67.14;0.70
67.14;0.73
67.14;0.73
67.14;0.73
67.14;0.73
67.14;0.75
67.14;0.75
67.14;0.75
67.14;0.75
67.14;0.85
67.14;0.85
67.14;0.85
67.14;0.85
67.14;0.85
67.14;0.94
67.14;0.94
67.14;0.94
67.34;0.94
67.34;0.87
67.34;0.87
67.34;0.87
67.34;0.87
67.34;0.88
67.34;0.88
67.34;0.88
67.34;0.88
67.34;0.89
67.34;0.89
67.34;0.89
67.34;0.89
67.34;0.97
67.34;0.97
67.34;0.97
67.34;0.97
67.34;0.97
67.34;0.90
67.34;0.90
67.34;0.90
67.34;0.90
67.34;0.83
67.34;0.83
67.34;0.83
67.34;0.83
67.34;0.84
67.34;0.84
67.34;0.84
67.34;0.84
67.34;0.77
67.34;0.77
67.34;0.77
67.34;0.77
67.34;0.95
67.34;0.95
67.34;0.95
67.34;0.95
67.34;0.95
67.34;0.95
67.34;0.95
67.34;0.95
67.34;0.95
67.34;0.88
67.34;0.88
67.34;0.88
67.34;0.88
67.34;0.89
67.34;0.89
67.34;0.89
67.34;0.89
67.34;0.82
67.34;0.82
67.34;0.82
67.34;0.82
67.34;0.91
67.34;0.91
67.34;0.91
67.34;0.91
67.34;0.91
67.34;0.92
67.34;0.92
67.34;0.92
67.34;0.92
67.34;1.00
67.34;1.00
67.34;1.00
