Wed Jun 15 21:49:24 UTC 2016
MEM;CPU
65.12;0.73
66.13;0.76
66.94;0.76
66.94;0.76
67.14;0.76
67.14;0.76
67.14;0.78
67.14;0.78
67.14;0.78
67.14;0.78
67.14;0.71
67.14;0.71
67.14;0.71
67.14;0.71
67.14;0.74
67.14;0.74
67.14;0.74
67.14;0.74
67.14;0.76
67.14;0.76
67.14;0.76
67.14;0.76
67.14;1.02
67.14;1.02
67.14;1.02
67.14;1.02
67.14;1.02
67.14;1.02
67.14;1.02
67.34;1.02
67.14;1.02
67.14;0.93
67.14;0.93
67.34;0.93
67.34;0.93
67.34;0.94
67.34;0.94
67.34;0.94
67.34;0.94
67.34;0.94
67.34;0.94
67.34;0.94
67.34;0.94
67.34;0.94
67.34;1.03
67.34;1.03
67.34;1.03
67.34;1.03
67.34;0.95
67.34;0.95
67.34;0.95
67.34;0.95
67.34;0.87
67.34;0.87
67.34;0.87
67.34;0.87
67.34;0.88
67.34;0.88
67.34;0.88
67.34;0.88
67.34;1.05
67.34;1.05
67.34;1.05
67.34;1.05
67.34;1.05
67.34;1.05
67.34;1.05
67.34;1.05
67.34;1.05
67.34;1.04
67.34;1.04
67.34;1.04
67.34;1.04
67.34;1.12
67.34;1.12
67.34;1.12
67.34;1.12
67.34;1.27
67.34;1.27
67.34;1.27
67.54;1.27
67.34;1.27
67.34;1.17
67.34;1.17
67.34;1.17
67.34;1.17
67.34;1.07
67.34;1.07
67.34;1.07
67.34;1.07
67.34;1.23
67.34;1.23
67.34;1.23
67.34;1.23
67.34;1.29
67.34;1.29
67.34;1.29
67.34;1.29
67.34;1.29
67.34;1.51
67.34;1.51
67.34;1.51
67.34;1.51
67.34;1.47
67.34;1.47
67.34;1.47
67.34;1.47
67.34;1.51
67.34;1.51
67.34;1.51
67.34;1.51
67.34;1.47
67.34;1.47
67.34;1.47
67.34;1.47
67.34;1.59
67.34;1.59
67.34;1.59
67.34;1.59
67.34;1.59
67.34;1.54
67.34;1.54
67.34;1.54
67.34;1.54
67.34;1.50
67.34;1.50
67.34;1.50
67.34;1.50
67.34;1.38
67.34;1.38
67.34;1.38
67.34;1.38
67.34;1.35
67.34;1.35
67.54;1.35
67.34;1.35
67.34;1.48
67.34;1.48
67.34;1.48
67.34;1.48
67.34;1.48
67.34;1.44
67.34;1.44
67.34;1.44
67.34;1.44
67.34;1.41
67.54;1.41
67.34;1.41
67.34;1.41
67.34;1.37
67.34;1.37
67.54;1.37
67.34;1.37
67.34;1.27
67.34;1.27
67.34;1.27
67.54;1.27
67.34;1.27
67.34;1.40
67.34;1.40
67.34;1.40
67.34;1.40
67.34;1.29
67.34;1.29
67.54;1.29
67.34;1.29
67.34;1.27
67.34;1.27
67.34;1.27
67.34;1.27
67.34;1.25
67.34;1.25
67.54;1.25
67.34;1.25
67.34;1.39
67.34;1.39
67.34;1.39
67.54;1.39
67.34;1.39
67.34;1.44
67.34;1.44
67.54;1.44
67.54;1.44
67.54;1.32
67.54;1.32
67.54;1.32
67.54;1.32
67.54;1.21
67.54;1.21
67.54;1.21
67.54;1.21
67.54;1.20
67.54;1.20
67.54;1.20
67.54;1.20
67.54;1.18
67.54;1.18
67.54;1.18
67.54;1.18
67.54;1.18
67.54;1.17
67.54;1.17
67.54;1.17
67.54;1.17
67.54;1.15
67.54;1.15
67.54;1.15
67.54;1.15
67.54;1.14
67.54;1.14
67.54;1.14
67.54;1.14
67.54;1.29
67.54;1.29
67.54;1.29
67.54;1.29
67.54;1.29
67.54;1.27
67.54;1.27
67.54;1.27
67.54;1.27
67.54;1.33
67.54;1.33
67.54;1.33
67.54;1.33
67.54;1.38
67.54;1.38
67.54;1.38
67.54;1.38
67.54;1.27
67.54;1.27
67.54;1.27
67.54;1.27
67.54;1.49
67.54;1.49
67.54;1.49
67.54;1.49
67.54;1.49
67.54;1.37
67.54;1.37
67.54;1.37
67.54;1.37
67.54;1.34
67.54;1.34
67.54;1.34
67.54;1.34
67.54;1.39
67.54;1.39
67.54;1.39
67.54;1.39
67.54;1.28
67.54;1.28
67.54;1.28
67.54;1.28
67.54;1.28
67.54;1.34
67.54;1.34
67.54;1.34
67.54;1.34
67.54;1.31
67.54;1.31
67.54;1.31
67.54;1.31
67.54;1.29
67.54;1.29
67.54;1.29
67.54;1.29
67.54;1.26
67.54;1.26
67.54;1.26
67.54;1.26
67.54;1.26
67.54;1.32
67.54;1.32
67.54;1.32
67.54;1.32
67.54;1.38
67.54;1.38
67.54;1.38
67.54;1.38
67.54;1.27
67.54;1.27
67.54;1.27
67.54;1.27
67.54;1.33
67.54;1.33
67.54;1.33
67.54;1.33
67.54;1.54
67.54;1.54
67.54;1.54
67.54;1.54
67.54;1.54
67.54;1.50
67.54;1.50
67.54;1.50
67.54;1.50
67.54;1.46
67.54;1.46
67.54;1.46
67.54;1.46
67.54;1.34
67.54;1.34
67.54;1.34
67.54;1.34
67.54;1.23
67.54;1.23
67.54;1.23
67.54;1.23
67.54;1.23
67.54;1.29
67.54;1.29
67.54;1.29
67.54;1.29
67.54;1.35
67.54;1.35
67.54;1.35
67.54;1.35
67.54;1.32
67.54;1.32
67.54;1.32
67.54;1.32
67.54;1.22
67.54;1.22
67.54;1.22
67.54;1.22
67.54;1.22
67.54;1.36
67.54;1.36
67.54;1.36
67.54;1.36
67.54;1.25
67.54;1.25
67.54;1.25
67.54;1.25
67.54;1.31
67.54;1.31
67.54;1.31
67.54;1.31
67.54;1.37
67.54;1.37
67.54;1.37
67.54;1.37
67.54;1.42
67.54;1.42
67.54;1.42
67.54;1.42
67.54;1.42
67.54;1.54
67.54;1.54
67.54;1.54
67.54;1.54
