Wed Jun 15 21:17:57 UTC 2016
MEM;CPU
64.72;0.57
65.93;0.57
66.94;0.69
68.15;0.69
68.55;0.69
69.76;0.69
70.77;0.69
71.17;0.71
71.37;0.71
71.77;0.71
71.98;0.71
72.18;0.73
72.58;0.73
73.39;0.73
74.60;0.73
74.60;0.73
74.80;0.84
75.00;0.84
75.00;0.84
75.40;0.84
76.41;0.84
77.42;0.93
77.82;0.93
78.43;0.93
78.83;0.93
78.83;1.01
78.83;1.01
78.83;1.01
79.03;1.01
79.03;1.17
79.03;1.17
79.03;1.17
79.03;1.17
79.03;1.17
79.03;1.08
79.03;1.08
79.03;1.08
79.03;1.08
79.03;0.99
79.03;0.99
79.03;0.99
79.03;0.99
79.03;0.99
79.03;0.99
79.03;0.99
79.03;0.99
79.03;0.99
79.03;0.99
79.03;0.99
79.03;0.99
79.03;1.07
79.03;1.07
79.03;1.07
79.03;1.07
79.03;1.07
79.03;1.15
79.03;1.15
79.03;1.15
79.23;1.15
79.44;1.14
79.64;1.14
79.84;1.14
80.24;1.14
80.44;1.29
81.25;1.29
81.45;1.29
81.65;1.29
81.85;1.29
82.06;1.26
82.26;1.26
82.26;1.26
82.26;1.26
82.26;1.24
82.26;1.24
82.26;1.24
82.46;1.24
82.46;1.24
82.46;1.22
82.46;1.22
82.46;1.22
82.46;1.22
82.46;1.28
82.46;1.28
82.46;1.28
82.46;1.28
82.46;1.26
82.46;1.26
82.46;1.26
82.46;1.26
82.46;1.26
82.46;1.40
82.46;1.40
82.46;1.40
82.46;1.40
82.46;1.37
82.46;1.37
82.66;1.37
82.46;1.37
82.46;1.34
82.46;1.34
82.46;1.34
82.66;1.34
82.66;1.31
82.66;1.31
82.66;1.31
82.66;1.31
82.66;1.29
82.66;1.29
82.66;1.29
82.66;1.29
82.66;1.29
82.66;1.18
82.66;1.18
82.66;1.18
82.66;1.18
82.66;1.33
82.66;1.33
82.66;1.33
82.66;1.33
82.66;1.38
82.66;1.38
82.66;1.38
82.66;1.38
82.66;1.35
82.66;1.35
82.66;1.35
82.66;1.35
82.66;1.32
82.66;1.32
82.66;1.32
82.66;1.32
82.66;1.38
82.66;1.38
82.66;1.38
82.66;1.38
82.66;1.35
82.66;1.35
82.66;1.35
82.66;1.35
82.66;1.40
82.66;1.40
82.66;1.40
82.66;1.40
82.66;1.40
82.66;1.85
82.66;1.85
82.66;1.85
82.66;1.85
82.66;1.94
82.66;1.94
82.66;1.94
82.66;1.94
82.66;1.79
82.66;1.79
82.66;1.79
82.66;1.79
82.66;1.64
82.66;1.64
82.66;1.64
82.66;1.64
82.66;1.67
82.66;1.67
82.66;1.67
82.66;1.67
82.66;1.78
82.66;1.78
82.66;1.78
82.66;1.78
82.66;1.72
82.66;1.72
82.66;1.72
82.66;1.72
82.66;1.72
82.66;1.66
82.66;1.66
82.66;1.66
82.66;1.66
82.66;1.61
82.66;1.61
82.66;1.61
82.66;1.61
82.66;1.56
82.66;1.56
82.66;1.56
82.66;1.56
82.66;1.43
82.66;1.43
82.66;1.43
82.66;1.43
82.66;1.56
82.66;1.56
82.66;1.56
82.66;1.56
82.66;1.56
82.66;1.51
82.66;1.51
82.66;1.51
82.66;1.51
82.66;1.47
82.66;1.47
82.66;1.47
82.66;1.47
82.66;1.35
82.66;1.35
82.66;1.35
82.66;1.35
82.66;1.49
82.66;1.49
82.66;1.49
82.66;1.49
82.66;1.85
82.66;1.85
82.66;1.85
82.66;1.85
82.66;1.85
82.66;1.78
82.66;1.78
82.66;1.78
82.66;1.78
82.66;1.72
82.66;1.72
82.66;1.72
82.66;1.72
82.66;1.66
82.66;1.66
82.66;1.66
82.66;1.66
82.66;1.61
82.66;1.61
82.66;1.61
82.66;1.61
82.66;1.64
82.66;1.64
82.66;1.64
82.66;1.64
82.66;1.64
82.66;1.59
82.66;1.59
82.66;1.59
82.66;1.59
82.66;1.54
82.66;1.54
82.66;1.54
82.66;1.54
82.66;1.58
82.66;1.58
82.66;1.58
82.66;1.58
82.66;1.61
82.66;1.61
82.66;1.61
82.66;1.61
82.66;1.48
82.66;1.48
82.66;1.48
82.66;1.48
82.66;1.48
82.66;1.44
82.66;1.44
82.86;1.44
82.66;1.44
82.66;1.41
82.66;1.41
82.66;1.41
82.66;1.41
82.66;1.29
82.66;1.29
82.66;1.29
82.66;1.29
82.66;1.35
82.66;1.35
82.66;1.35
82.66;1.35
82.66;1.24
82.66;1.24
82.66;1.24
82.66;1.24
82.66;1.24
82.66;1.22
82.66;1.22
82.66;1.22
82.66;1.22
82.66;1.12
82.66;1.12
82.66;1.12
82.66;1.12
82.66;1.12
82.66;1.12
82.66;1.12
82.66;1.12
82.66;1.03
82.66;1.03
82.66;1.03
82.66;1.03
82.66;1.02
82.66;1.02
82.66;1.02
82.66;1.02
82.66;1.10
82.66;1.10
82.66;1.10
82.66;1.10
82.66;1.01
82.66;1.01
82.66;1.01
82.66;1.01
82.66;1.17
82.66;1.17
82.66;1.17
82.66;1.17
82.66;1.17
82.66;1.08
82.66;1.08
82.66;1.08
82.66;1.08
82.66;1.07
82.66;1.07
82.66;1.07
