Wed Jun 15 21:24:41 UTC 2016
MEM;CPU
64.72;0.73
66.13;0.73
66.94;0.73
68.15;0.73
68.75;0.83
69.96;0.83
70.97;0.83
71.37;0.83
71.57;1.09
71.77;1.09
72.18;1.09
72.58;1.09
72.78;1.09
73.59;1.24
74.60;1.24
74.80;1.24
75.00;1.24
75.00;1.24
75.00;1.30
75.81;1.30
76.81;1.30
77.42;1.30
78.02;1.28
78.63;1.28
78.83;1.28
78.83;1.28
78.83;1.28
78.83;1.25
78.83;1.25
79.03;1.25
79.03;1.25
79.03;1.23
79.03;1.23
79.03;1.23
79.03;1.23
79.03;1.21
79.03;1.21
79.03;1.21
79.03;1.21
79.03;1.20
79.03;1.20
79.03;1.20
79.03;1.20
79.03;1.20
79.03;1.18
79.03;1.18
79.03;1.18
79.03;1.18
79.03;1.09
79.03;1.09
79.03;1.09
79.03;1.09
79.03;1.00
79.03;1.00
79.23;1.00
79.03;1.00
79.03;0.92
79.03;0.92
79.23;0.92
79.44;0.92
79.84;0.93
80.04;0.93
80.44;0.93
81.05;0.93
81.45;0.93
81.65;1.09
81.85;1.09
82.06;1.09
82.06;1.09
82.26;1.25
82.46;1.25
82.46;1.25
82.46;1.25
82.46;1.23
82.46;1.23
82.46;1.23
82.46;1.23
82.46;1.23
82.46;1.21
82.46;1.21
82.46;1.21
82.46;1.21
82.46;1.11
82.46;1.11
82.46;1.11
82.66;1.11
82.46;1.02
82.46;1.02
82.46;1.02
82.66;1.02
82.66;1.10
82.66;1.10
82.66;1.10
82.66;1.10
82.66;1.25
82.66;1.25
82.66;1.25
82.66;1.25
82.66;1.25
82.66;1.23
82.66;1.23
82.66;1.23
82.66;1.23
82.66;1.21
82.66;1.21
82.66;1.21
82.66;1.21
82.66;1.20
82.66;1.20
82.66;1.20
82.66;1.20
82.66;1.18
82.66;1.18
82.66;1.18
82.66;1.18
82.66;1.18
82.66;1.17
82.66;1.17
82.66;1.17
82.66;1.17
82.66;1.07
82.66;1.07
82.66;1.07
82.66;1.07
82.66;0.99
82.66;0.99
82.66;0.99
82.66;0.99
82.66;1.15
82.66;1.15
82.66;1.15
82.66;1.15
82.66;1.46
82.66;1.46
82.66;1.46
82.66;1.46
82.66;1.42
82.66;1.42
82.66;1.42
82.66;1.42
82.66;1.42
82.66;1.39
82.66;1.39
82.66;1.39
82.66;1.39
82.66;1.28
82.66;1.28
82.66;1.28
82.66;1.28
82.66;1.25
82.66;1.25
82.66;1.25
82.66;1.25
82.66;1.15
82.66;1.15
82.66;1.15
82.66;1.15
82.66;1.38
82.66;1.38
82.66;1.38
82.66;1.38
82.66;1.38
82.66;1.43
82.66;1.43
82.66;1.43
82.66;1.43
82.66;1.48
82.66;1.48
82.66;1.48
82.66;1.48
82.66;1.36
82.66;1.36
82.66;1.36
82.66;1.36
82.66;1.49
82.66;1.49
82.66;1.49
82.66;1.49
82.66;1.49
82.66;1.53
82.66;1.53
82.66;1.53
82.66;1.53
82.66;1.57
82.66;1.57
82.66;1.57
82.86;1.57
82.66;1.60
82.66;1.60
82.66;1.60
82.66;1.60
82.66;1.47
82.66;1.47
82.66;1.47
82.86;1.47
82.66;1.47
82.66;1.52
82.66;1.52
82.86;1.52
82.66;1.52
82.66;1.47
82.66;1.47
82.86;1.47
82.86;1.47
82.86;1.60
82.86;1.60
82.86;1.60
82.86;1.60
82.86;1.63
82.86;1.63
82.86;1.63
82.86;1.63
82.86;1.58
82.86;1.58
82.86;1.58
82.86;1.58
82.86;1.53
82.86;1.53
82.86;1.53
82.86;1.53
82.86;1.53
82.86;1.65
82.86;1.65
82.86;1.65
82.86;1.65
82.86;1.60
82.86;1.60
82.86;1.60
82.86;1.60
82.86;1.55
82.86;1.55
82.86;1.55
82.86;1.55
82.86;1.59
82.86;1.59
82.86;1.59
82.86;1.59
82.86;1.59
82.86;1.70
82.86;1.70
82.86;1.70
82.86;1.70
82.86;1.72
82.86;1.72
82.86;1.72
82.86;1.72
82.86;1.75
82.86;1.75
82.86;1.75
82.86;1.75
82.86;1.69
82.86;1.69
82.86;1.69
82.86;1.69
82.86;1.63
82.86;1.63
82.86;1.63
82.86;1.63
82.86;1.63
82.86;1.90
82.86;1.90
82.86;1.90
82.86;1.90
82.86;1.83
82.86;1.83
82.86;1.83
82.86;1.83
82.86;1.68
82.86;1.68
82.86;1.68
82.86;1.68
82.86;1.71
82.86;1.71
82.86;1.71
82.86;1.71
82.86;1.57
82.86;1.57
82.86;1.57
82.86;1.57
82.86;1.68
82.86;1.68
82.86;1.68
82.86;1.68
82.86;1.68
82.86;1.63
82.86;1.63
82.86;1.63
82.86;1.63
82.86;1.58
82.86;1.58
82.86;1.58
82.86;1.58
82.86;1.77
82.86;1.77
82.86;1.77
82.86;1.77
82.86;1.71
82.86;1.71
82.86;1.71
82.86;1.71
82.86;1.57
82.86;1.57
82.86;1.57
82.86;1.57
82.86;1.69
82.86;1.69
82.86;1.69
82.86;1.69
82.86;1.69
82.86;1.63
82.86;1.63
82.86;1.63
82.86;1.63
