Wed Jun 15 20:36:54 UTC 2016
MEM;CPU
63.91;0.04
65.12;0.04
66.13;0.04
67.34;0.04
67.94;0.04
69.35;0.12
70.16;0.12
70.56;0.12
70.97;0.12
71.17;0.27
71.37;0.27
71.77;0.27
71.98;0.27
72.78;0.27
73.79;0.33
73.99;0.33
74.19;0.33
74.19;0.33
74.40;0.33
75.00;0.54
76.21;0.54
76.81;0.54
77.42;0.54
77.82;0.66
78.02;0.66
78.23;0.66
78.23;0.66
78.23;0.61
78.23;0.61
78.23;0.61
78.23;0.61
78.23;0.61
78.23;0.56
78.23;0.56
78.23;0.56
78.43;0.56
78.43;0.75
78.43;0.75
78.43;0.75
78.43;0.75
78.43;0.93
78.43;0.93
78.43;0.93
78.43;0.93
78.43;0.86
78.43;0.86
78.43;0.86
78.43;0.86
78.43;0.79
78.43;0.79
78.43;0.79
78.43;0.79
78.43;0.73
78.43;0.73
78.43;0.73
78.43;0.73
78.43;0.75
78.43;0.75
78.63;0.75
79.03;0.75
79.23;0.75
79.64;1.09
79.84;1.09
80.65;1.09
80.85;1.09
80.85;1.08
81.25;1.08
81.25;1.08
81.45;1.08
81.65;1.16
81.65;1.16
81.65;1.16
81.65;1.16
81.85;1.16
81.85;1.30
81.85;1.30
81.85;1.30
81.85;1.30
81.85;1.20
81.85;1.20
81.85;1.20
81.85;1.20
81.85;1.26
81.85;1.26
81.85;1.26
81.85;1.26
81.85;1.26
81.85;1.32
81.85;1.32
81.85;1.32
81.85;1.32
81.85;1.30
81.85;1.30
81.85;1.30
81.85;1.30
81.85;1.27
81.85;1.27
81.85;1.27
81.85;1.27
81.85;1.25
81.85;1.25
81.85;1.25
81.85;1.25
81.85;1.15
81.85;1.15
81.85;1.15
81.85;1.15
81.85;1.15
81.85;1.38
81.85;1.38
81.85;1.38
81.85;1.38
81.85;1.35
81.85;1.35
81.85;1.35
82.06;1.35
81.85;1.32
81.85;1.32
81.85;1.32
82.06;1.32
82.06;1.29
81.85;1.29
82.06;1.29
82.06;1.29
82.06;1.19
82.06;1.19
82.06;1.19
82.06;1.19
82.06;1.18
82.06;1.18
82.06;1.18
82.06;1.18
82.06;1.24
82.06;1.24
81.85;1.24
82.06;1.24
82.06;1.22
82.06;1.22
82.06;1.22
82.06;1.22
82.06;1.22
82.06;1.28
82.06;1.28
82.06;1.28
82.06;1.28
82.06;1.18
82.06;1.18
82.06;1.18
82.06;1.18
82.06;1.09
82.06;1.09
82.06;1.09
82.06;1.09
82.06;1.08
82.06;1.08
82.06;1.08
82.06;1.08
82.06;1.23
82.06;1.23
82.06;1.23
82.06;1.23
82.06;1.22
82.06;1.22
82.06;1.22
82.06;1.22
82.06;1.22
82.06;1.44
82.06;1.44
82.06;1.44
82.06;1.44
82.06;1.32
82.06;1.32
82.06;1.32
82.06;1.32
82.06;1.46
82.06;1.46
82.06;1.46
82.06;1.46
82.06;1.58
82.06;1.58
82.06;1.58
82.06;1.58
82.06;1.45
82.06;1.45
82.06;1.45
82.06;1.45
82.06;1.34
82.06;1.34
82.06;1.34
82.06;1.34
82.06;1.47
82.06;1.47
82.06;1.47
82.06;1.47
82.06;1.47
82.06;1.35
82.06;1.35
82.06;1.35
82.06;1.35
82.06;1.35
82.06;1.41
