Wed Jun 15 20:16:52 UTC 2016
MEM;CPU
61.90;0.15
63.10;0.38
64.11;0.38
65.32;0.38
65.93;0.38
67.14;0.43
67.94;0.43
68.35;0.43
68.75;0.43
68.95;0.43
69.15;0.47
69.56;0.47
69.96;0.47
70.56;0.47
71.77;0.60
71.98;0.60
71.98;0.60
72.18;0.60
72.18;0.60
72.98;0.71
73.99;0.71
74.60;0.71
75.20;0.71
75.60;0.71
76.01;0.73
76.01;0.73
76.01;0.73
76.01;0.73
76.21;0.67
76.21;0.67
76.21;0.67
76.21;0.67
76.21;0.70
76.21;0.70
76.21;0.70
76.21;0.70
76.21;0.72
76.21;0.72
76.21;0.72
76.21;0.72
76.21;0.72
76.21;1.22
76.21;1.22
76.21;1.22
76.21;1.22
76.21;1.29
76.21;1.29
76.21;1.29
76.41;1.29
76.21;1.34
76.21;1.34
76.21;1.34
76.21;1.34
76.21;1.24
76.21;1.24
76.21;1.24
76.21;1.24
76.21;1.38
76.21;1.38
76.21;1.38
76.21;1.38
76.21;1.35
76.21;1.35
76.21;1.35
76.21;1.35
76.41;1.24
76.21;1.24
76.41;1.24
76.41;1.24
76.81;1.30
77.42;1.30
77.82;1.30
78.43;1.30
78.83;1.30
79.64;1.52
80.04;1.52
80.24;1.52
80.44;1.52
80.85;1.56
81.05;1.56
81.25;1.56
81.25;1.56
81.45;1.43
81.45;1.43
81.45;1.43
81.45;1.43
81.45;1.43
81.45;1.72
81.45;1.72
81.45;1.72
81.45;1.72
81.45;1.66
81.45;1.66
81.45;1.66
81.45;1.66
81.45;1.61
81.45;1.61
81.45;1.61
81.45;1.61
81.65;1.72
81.65;1.72
81.65;1.72
81.65;1.72
81.65;1.90
81.65;1.90
81.65;1.90
81.65;1.90
81.65;1.91
81.65;1.91
81.65;1.91
81.65;1.91
81.65;1.84
81.65;1.84
81.65;1.84
81.65;1.84
81.65;1.69
81.65;1.69
81.65;1.69
81.65;1.69
81.65;1.95
81.65;1.95
81.65;1.95
81.65;1.95
81.65;2.04
81.65;2.04
81.65;2.04
81.65;2.04
81.65;1.87
81.65;1.87
81.65;1.87
81.65;1.87
81.65;1.72
81.65;1.72
81.65;1.72
81.65;1.72
81.65;1.59
81.65;1.59
81.65;1.59
81.65;1.59
81.65;1.54
81.65;1.54
81.65;1.54
81.65;1.54
81.65;1.42
81.65;1.42
81.65;1.42
81.65;1.42
81.65;1.46
81.65;1.46
81.65;1.46
81.65;1.46
81.65;1.35
81.65;1.35
81.65;1.35
81.65;1.35
81.65;1.32
81.65;1.32
81.65;1.32
81.65;1.32
81.65;1.21
81.65;1.21
81.65;1.21
81.65;1.21
81.65;1.28
81.65;1.28
81.65;1.28
81.65;1.28
81.65;1.41
81.65;1.41
81.65;1.41
81.65;1.41
81.65;1.41
81.65;1.30
81.65;1.30
81.65;1.30
81.65;1.30
81.65;1.20
81.65;1.20
81.65;1.20
81.65;1.20
81.85;1.10
81.65;1.10
81.65;1.10
81.65;1.10
81.85;1.01
81.65;1.01
81.65;1.01
81.65;1.01
81.65;0.93
81.65;0.93
81.65;0.93
81.65;0.93
81.65;0.93
81.85;0.86
81.65;0.86
81.65;0.86
81.65;0.86
81.65;0.95
81.65;0.95
81.65;0.95
81.65;0.95
81.65;0.95
81.65;0.87
81.85;0.87
81.85;0.87
81.85;0.87
81.85;0.87
81.85;0.80
81.85;0.80
81.85;0.80
81.85;0.80
81.85;0.74
81.85;0.74
81.85;0.74
81.85;0.74
81.85;0.74
81.85;0.68
81.85;0.68
81.85;0.68
81.85;0.68
81.85;0.62
81.85;0.62
