Wed Jun 15 20:53:50 UTC 2016
MEM;CPU
64.31;0.63
65.12;0.63
66.33;0.63
66.33;0.74
66.13;0.74
66.33;0.74
66.33;0.74
66.33;0.74
66.33;0.68
66.33;0.68
66.33;0.68
66.33;0.68
66.33;0.63
66.33;0.63
66.33;0.63
66.33;0.63
66.33;0.90
66.33;0.90
66.33;0.90
66.33;0.90
66.33;0.99
66.33;0.99
66.33;0.99
66.33;0.99
66.33;0.91
66.33;0.91
66.33;0.91
66.33;0.91
66.33;0.83
66.33;0.83
66.33;0.83
66.33;0.83
66.53;0.83
66.53;1.01
66.53;1.01
66.53;1.01
66.53;1.01
66.53;1.01
66.53;1.01
66.53;1.01
66.53;1.01
66.53;1.01
66.53;1.01
66.53;1.01
66.53;1.01
66.53;0.93
66.53;0.93
66.53;0.93
66.53;0.93
66.53;0.85
66.53;0.85
66.53;0.85
66.53;0.85
66.53;0.78
66.53;0.78
66.53;0.78
66.53;0.78
66.53;0.80
66.53;0.80
66.53;0.80
66.53;0.80
66.53;0.98
66.53;0.98
66.53;0.98
66.53;0.98
66.53;0.98
66.53;0.98
66.53;0.98
66.53;0.98
66.53;0.98
66.53;0.98
66.53;0.98
66.53;0.98
66.53;0.98
66.53;0.98
66.53;0.98
66.53;0.98
66.53;0.98
66.53;0.90
66.53;0.90
66.53;0.90
66.53;0.90
66.53;0.83
66.53;0.83
66.53;0.83
66.73;0.83
66.53;0.93
66.53;0.93
66.53;0.93
66.73;0.93
66.53;1.01
66.53;1.01
66.53;1.01
66.53;1.01
66.53;1.01
66.53;1.01
66.53;1.01
66.53;1.01
66.53;1.01
66.53;1.01
66.53;1.01
66.53;1.01
66.53;1.01
66.53;1.01
66.53;1.01
66.53;1.01
66.53;1.17
66.53;1.17
66.53;1.17
66.53;1.17
66.53;1.17
66.53;1.31
66.53;1.31
66.53;1.31
66.53;1.31
66.53;1.29
66.53;1.29
66.53;1.29
66.53;1.29
66.53;1.19
66.53;1.19
66.53;1.19
66.53;1.19
66.53;1.33
66.53;1.33
66.53;1.33
66.53;1.33
66.53;1.30
66.53;1.30
66.53;1.30
66.53;1.30
66.53;1.20
66.53;1.20
66.53;1.20
66.73;1.20
66.53;1.18
66.53;1.18
66.53;1.18
66.53;1.18
66.53;1.33
66.53;1.33
66.53;1.33
66.73;1.33
66.73;1.62
66.53;1.62
66.53;1.62
66.53;1.62
66.53;1.62
66.53;1.65
66.53;1.65
66.53;1.65
66.53;1.65
66.53;1.52
66.53;1.52
66.53;1.52
66.53;1.52
66.53;1.48
66.53;1.48
66.53;1.48
66.53;1.48
66.53;1.44
66.53;1.44
66.53;1.44
66.73;1.44
66.53;1.41
66.53;1.41
66.53;1.41
66.73;1.41
66.53;1.37
66.53;1.37
66.53;1.37
66.73;1.37
66.73;1.34
66.53;1.34
66.53;1.34
66.53;1.34
66.53;1.56
66.53;1.56
66.53;1.56
66.53;1.56
66.53;1.67
66.53;1.67
66.53;1.67
66.53;1.67
66.53;1.67
66.53;1.62
66.53;1.62
66.53;1.62
66.53;1.62
66.53;1.65
66.53;1.65
66.53;1.65
66.73;1.65
66.53;1.52
66.53;1.52
66.53;1.52
66.73;1.52
66.73;1.56
66.73;1.56
66.73;1.56
66.73;1.56
66.73;1.43
66.73;1.43
66.73;1.43
66.73;1.43
66.73;1.40
66.73;1.40
66.73;1.40
66.73;1.40
66.73;1.52
66.73;1.52
66.73;1.52
66.73;1.52
66.73;1.52
66.73;1.48
66.73;1.48
66.73;1.48
66.73;1.48
66.73;1.36
66.73;1.36
66.73;1.36
66.73;1.36
66.73;1.41
66.73;1.41
66.73;1.41
66.73;1.41
66.73;1.38
66.73;1.38
66.73;1.38
66.73;1.38
66.73;1.43
66.73;1.43
66.73;1.43
66.73;1.43
66.73;1.40
66.73;1.40
66.73;1.40
66.73;1.40
66.73;1.52
66.73;1.52
66.73;1.52
66.73;1.52
66.73;1.56
66.73;1.56
66.73;1.56
66.73;1.56
66.73;1.68
66.73;1.68
66.73;1.68
