Wed Jun 15 20:47:39 UTC 2016
MEM;CPU
64.11;0.59
65.32;0.59
66.13;0.59
66.13;0.59
66.13;0.55
66.13;0.55
66.13;0.55
66.33;0.55
66.33;0.55
66.33;0.66
66.33;0.66
66.33;0.66
66.33;0.66
66.33;0.77
66.33;0.77
66.33;0.77
66.33;0.77
66.33;0.79
66.33;0.79
66.33;0.79
66.33;0.79
66.33;0.81
66.33;0.81
66.33;0.81
66.33;0.81
66.33;0.90
66.33;0.90
66.33;0.90
66.33;0.90
66.33;0.91
66.33;0.91
66.33;0.91
66.33;0.91
66.33;1.08
66.33;1.08
66.33;1.08
66.33;1.08
66.33;1.08
66.33;1.07
66.33;1.07
66.33;1.07
66.33;1.07
66.33;1.06
66.33;1.06
66.33;1.06
66.33;1.06
66.33;1.22
66.33;1.22
66.33;1.22
66.53;1.22
66.33;1.20
66.33;1.20
66.33;1.20
66.53;1.20
66.53;1.19
66.53;1.19
66.53;1.19
66.53;1.19
66.53;1.25
66.53;1.25
66.53;1.25
66.53;1.25
66.53;1.47
66.53;1.47
66.53;1.47
66.53;1.47
66.53;1.47
66.53;1.43
66.53;1.43
66.53;1.43
66.53;1.43
66.53;1.56
66.53;1.56
66.53;1.56
66.53;1.56
66.53;1.43
66.53;1.43
66.53;1.43
66.53;1.43
66.53;1.48
66.53;1.48
66.53;1.48
66.53;1.48
66.53;1.44
66.53;1.44
66.53;1.44
66.53;1.44
66.53;1.41
66.53;1.41
66.53;1.41
66.53;1.41
66.53;1.37
66.53;1.37
66.53;1.37
66.53;1.37
66.53;1.26
66.53;1.26
66.53;1.26
66.53;1.26
66.53;1.32
66.53;1.32
66.53;1.32
66.53;1.32
66.53;1.32
66.53;1.38
66.53;1.38
66.53;1.38
66.53;1.38
66.53;1.43
66.53;1.43
66.53;1.43
66.53;1.43
66.53;1.47
66.53;1.47
66.53;1.47
66.53;1.47
66.53;1.35
66.53;1.35
66.53;1.35
66.53;1.35
66.53;1.33
66.53;1.33
66.53;1.33
66.53;1.33
66.53;1.22
66.53;1.22
66.53;1.22
66.53;1.22
66.53;1.20
66.53;1.20
66.53;1.20
66.53;1.20
66.53;1.35
66.53;1.35
66.53;1.35
66.53;1.35
66.53;1.48
66.53;1.48
66.53;1.48
66.53;1.48
66.53;1.48
66.53;1.36
66.53;1.36
66.53;1.36
66.53;1.36
66.53;1.25
66.53;1.25
66.53;1.25
66.53;1.25
66.53;1.15
66.53;1.15
66.53;1.15
66.53;1.15
66.53;1.14
66.53;1.14
66.53;1.14
66.53;1.14
66.53;1.29
66.53;1.29
66.53;1.29
66.53;1.29
66.53;1.43
66.53;1.43
66.53;1.43
66.53;1.43
66.53;1.39
66.53;1.39
66.53;1.39
66.53;1.39
66.53;1.28
66.53;1.28
66.53;1.28
66.53;1.28
66.53;1.50
66.53;1.50
66.53;1.50
66.53;1.50
66.53;1.50
66.53;1.46
66.53;1.46
66.53;1.46
66.53;1.46
66.53;1.42
66.53;1.42
66.53;1.42
66.53;1.42
66.53;1.39
66.53;1.39
66.53;1.39
66.53;1.39
66.53;1.36
66.53;1.36
66.53;1.36
66.53;1.36
66.53;1.41
66.53;1.41
66.53;1.41
66.53;1.41
66.53;1.29
66.53;1.29
66.53;1.29
66.53;1.29
66.53;1.27
66.53;1.27
66.53;1.27
66.53;1.27
66.53;1.33
66.53;1.33
66.53;1.33
66.53;1.33
66.53;1.33
66.53;1.38
66.53;1.38
66.53;1.38
66.53;1.38
66.53;1.35
66.53;1.35
66.53;1.35
66.53;1.35
66.53;1.24
66.53;1.24
66.53;1.24
66.53;1.24
66.53;1.22
66.53;1.22
66.53;1.22
66.53;1.22
66.53;1.21
66.53;1.21
66.53;1.21
66.53;1.21
66.53;1.19
66.53;1.19
66.53;1.19
66.53;1.19
66.53;1.41
66.53;1.41
66.53;1.41
66.53;1.41
66.53;1.41
66.53;1.54
66.53;1.54
66.53;1.54
66.53;1.54
66.53;1.42
66.53;1.42
66.53;1.42
66.53;1.42
66.53;1.46
66.53;1.46
66.53;1.46
66.53;1.46
66.53;1.43
66.53;1.43
66.53;1.43
66.53;1.43
66.53;1.39
66.53;1.39
66.53;1.39
66.53;1.39
66.53;1.36
66.53;1.36
66.53;1.36
66.53;1.36
66.53;1.25
66.53;1.25
66.53;1.25
66.53;1.25
66.53;1.15
66.53;1.15
66.53;1.15
66.53;1.15
66.53;1.06
66.53;1.06
66.53;1.06
66.53;1.06
66.53;1.06
66.53;1.14
66.53;1.14
